GEOID,NAMELSAD,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,county_id,STNAME
31043,Dakota County,3175972945.0835214,3141440748.006501,3159360395.1841087,3162844057.430248,3159388566.632235,3175151794.9435673,3154252386.268172,3127311215.47991,3129370668.304469,3133125537.619504,31043,Nebraska
26089,Leelanau County,3279402700.1173816,3234577499.7973814,3260788157.2193227,3271445445.0029798,3320686985.204153,3342484612.16614,3345258941.3417606,3382841142.381942,3397218012.776885,3404571298.5188265,26089,Michigan
51181,Surry County,1063590064.9029346,1044731700.3965688,1043104457.9832054,1033769449.4475846,1042519807.3571106,1030726891.682167,1019427493.4465011,1016337073.1767044,1011155015.9609934,1004740447.5478103,51181,Virginia
48391,Refugio County,1113568530.4740407,1105112090.5365238,1106706528.3120542,1108708976.3561175,1132010445.6877651,1131930026.7521446,1131107221.90158,1122143654.5300226,1095170216.8848758,1087034666.7023025,48391,Texas
39017,Butler County,55731575828.47856,55870427849.42627,56517379281.426636,56569442268.688034,57469288790.51919,58094925771.055534,58850239526.31332,59484084947.034584,59765003264.28894,59942420839.424286,39017,Ohio
13273,Terrell County,1438353060.5146728,1417731560.48614,1407024217.7065463,1395977162.8388262,1396023205.1615348,1392586040.2835214,1378264726.797291,1358919091.3841987,1343460950.3414898,1334699588.6064107,13273,Georgia
13063,Clayton County,39239437151.72912,39553835021.90628,40463423611.082985,40213738204.78916,40997937126.227,42137586253.86908,43448236195.74176,44414383331.33147,45245705887.49364,45724295272.27233,13063,Georgia
56013,Fremont County,6069590208.541761,6116382570.202077,6255728811.841084,6231556757.890022,6237435986.053273,6214181510.502935,6252820451.106095,6223052372.712597,6189432707.168939,6142496840.731016,56013,Wyoming
18115,Ohio County,918939400.1986456,913555302.8175169,923526464.8469526,911764244.0538149,915972049.0304288,908047060.7729119,915369362.0586908,914906539.501219,919786529.2951692,919160717.7426636,18115,Indiana
13073,Columbia County,18867248233.95034,19443089428.96686,20215544372.79603,20736467749.704376,21389185144.926773,22224053952.763885,22922342036.80361,23682076020.512505,24105791643.853,24518357909.84235,13073,Georgia
08115,Sedgwick County,358002845.52595943,358055713.52993226,362699576.1199097,356419701.15033865,358885137.22293454,366648915.2993228,373302713.4988713,361180220.83828443,356086773.3757111,351706092.50817156,08115,Colorado
30065,Musselshell County,687770122.8893905,716564279.9859142,715637683.4123701,712991718.4122798,714233702.827991,715065815.4257336,722651836.2148985,723923315.8472235,724689777.8015349,724846230.6896614,30065,Montana
42043,Dauphin County,40508376803.26862,40643399161.98176,41181959230.5535,41343314488.43485,41858092849.28831,42193981894.022575,42649212846.056885,43090628908.787,43316172418.230606,43540682312.69201,42043,Pennsylvania
46101,Moody County,980393283.8465011,981030388.7989166,990178994.1843792,982591235.9490745,989471233.088939,997044016.193228,1012272524.7711061,1014930486.4231151,1017256678.5979234,1028834192.3192776,46101,South Dakota
54079,Putnam County,8398194124.063205,8457783148.8541765,8609157936.958916,8604641776.660227,8706885559.232506,8743950870.04605,8815388036.478556,8860246248.275215,8861804489.256163,8831765534.735891,54079,West Virginia
34037,Sussex County,22475965234.401806,22365953164.66673,22417670731.088398,22183166177.706905,22233195649.732548,22095348286.33138,22075411505.55305,22067314427.392147,22028723101.086773,21979753347.103207,34037,New Jersey
20039,Decatur County,446484358.59142214,441833504.84911966,439876189.03693,442935252.54067725,445454259.86925507,451628647.0374718,439875030.73950344,447450875.0584198,447455260.041535,442292314.73336345,20039,Kansas
18123,Perry County,2930610387.5214443,2931920794.220858,2954522072.758104,2957521938.9897966,2972872854.7850113,2983561127.024831,2951891206.9923253,2966022601.068352,2984651746.7875395,2999045412.4951696,18123,Indiana
28145,Union County,4099593107.918736,4123225891.682167,4171350171.279819,4229970735.3188267,4329532480.199729,4374293064.070429,4403105505.719188,4452003362.526772,4476899393.737246,4508189971.362528,28145,Mississippi
31015,Boyd County,317838882.2573364,313827077.75241536,314197277.88352144,307069280.991061,310449482.4563431,309326223.5268623,307974738.63656884,305541900.36297965,305083131.8465011,300233092.3145824,31015,Nebraska
27095,Mille Lacs County,3937578323.7562075,3901629859.8685327,3909925834.244695,3908126791.502302,3930514943.3130474,3939042328.9679456,3980962353.87088,4041748892.729933,4083420380.099323,4111112541.297698,27095,Minnesota
38099,Walsh County,1678128901.38149,1664234503.2325058,1681413005.5281265,1687814832.6696162,1677103766.7911513,1676727361.4952595,1682350895.5015802,1688060391.7240634,1665440994.1056433,1664815182.5531375,38099,North Dakota
39115,Morgan County,2270018886.3927765,2269698865.3609033,2277167649.903386,2268596166.210745,2264943475.2758465,2276684267.5665913,2291612032.4911966,2288672935.5066366,2281239561.7711964,2269818500.9379683,39115,Ohio
39133,Portage County,24368050285.977425,24435189134.76298,24614611309.06618,24628753665.6,24980958032.840446,25122171822.241085,25278970958.56253,25392485512.87693,25423907226.318012,25418274922.345467,39133,Ohio
56041,Uinta County,3184277523.9548535,3154271580.9112415,3202371867.2050567,3191174854.188352,3201673662.063386,3208062127.416704,3216936133.576524,3193108218.06447,3174742005.861129,3164416115.244786,56041,Wyoming
32013,Humboldt County,2504057018.221219,2511673278.8467717,2603719286.771648,2643293800.753409,2647046973.9900675,2629272899.9783297,2612341280.5056434,2612969325.917472,2624966556.984921,2633258560.0556207,32013,Nevada
48247,Jim Hogg County,798296518.0496614,798379708.625553,804863609.4132731,801639695.3650565,819254503.480632,818277562.3367946,817688485.3598193,814570017.7451918,812303395.152325,813555018.2573363,48247,Texas
